Date;DRG;SP 500
20.03.2017;514.75;4808.2
21.03.2017;510.46;4702.28
22.03.2017;511.13;4708.58
23.03.2017;510.23;4713.41
24.03.2017;509.79;4725.15
27.03.2017;513.38;4848.22
28.03.2017;512.83;4870.17
29.03.2017;512.77;4898.35
30.03.2017;510.66;4844.04
31.03.2017;508.85;4819.6
03.04.2017;508.7;4792.64
04.04.2017;511;4778.89
05.04.2017;507.96;4756.43
06.04.2017;507.41;4821.89
07.04.2017;507.21;4916
10.04.2017;505.58;4924.36
11.04.2017;505.82;4888.89
12.04.2017;507.42;4867.97
13.04.2017;505.34;4857.98
17.04.2017;505.83;4840.17
18.04.2017;499.14;4777.81
19.04.2017;498.46;4797.94
20.04.2017;501.19;4825.19
21.04.2017;499.09;4776.16
24.04.2017;505.16;4830.68
25.04.2017;507.33;4855.68
26.04.2017;508.06;4929.1
27.04.2017;512.16;4960.3
28.04.2017;511.98;4957.45
01.05.2017;511.84;4968.35
02.05.2017;515.27;4943.68
03.05.2017;514.07;4812.31
04.05.2017;517.98;4852.94
05.05.2017;517.8;4883.8
08.05.2017;514.76;4751.1
09.05.2017;515.98;4820.51
10.05.2017;516.08;4849.84
11.05.2017;515.72;4908.65
12.05.2017;519.94;4910.57
15.05.2017;523.35;4908.55
16.05.2017;523.26;4877.44
17.05.2017;516.5;4764.98
18.05.2017;517.47;4738.66
19.05.2017;518.59;4734.41
22.05.2017;518.91;4725.84
23.05.2017;519.61;4771.99
24.05.2017;520.34;4769.15
25.05.2017;521.16;4802.89
26.05.2017;518.88;4801.38
30.05.2017;519.01;4746.63
31.05.2017;524;4795.7
01.06.2017;527.24;4874.19
02.06.2017;530.27;4866.98
05.06.2017;527.58;4802.83
06.06.2017;525.77;4792.44
07.06.2017;524.75;4800.02
08.06.2017;523.93;4861.17
09.06.2017;528.24;4809.88
12.06.2017;527.43;4752.89
13.06.2017;527.32;4768.63
14.06.2017;529.5;4767.19
15.06.2017;528.34;4740.97
16.06.2017;531.15;4749.15
19.06.2017;534.72;4836.48
20.06.2017;535.9;4853.01
21.06.2017;540.18;4978.21
22.06.2017;549.2;5045.19
23.06.2017;548.92;5058.48
26.06.2017;548.82;5069.36
27.06.2017;543.64;4958.62
28.06.2017;542.67;5006.62
29.06.2017;537.47;4970.31
30.06.2017;536.3;4955.03
03.07.2017;537.18;5003.46
05.07.2017;537.57;5009.29
06.07.2017;530.41;4917.85
07.07.2017;532.33;4952.53
10.07.2017;530.44;4923.67
11.07.2017;528.68;4956.08
12.07.2017;533.44;5001.15
13.07.2017;532.75;5030.44
14.07.2017;535.8;5038.89
17.07.2017;533.87;5036.52
18.07.2017;535.88;5027.15
19.07.2017;537.09;5031.69
20.07.2017;542.43;5093.52
21.07.2017;541.33;5101.84
24.07.2017;537.68;5103.39
25.07.2017;535.37;5069.73
26.07.2017;533.97;5050.48
27.07.2017;529.89;4982.14
28.07.2017;531.53;4991.52
31.07.2017;531.89;4969.8
01.08.2017;530.82;4895.04
02.08.2017;529.33;4854.37
03.08.2017;528.23;4789.28
